,tweets,subjectivity,polarity,sentiment
0,RexBrynen Angus Reid poll most Canadians want protesters to go home Protests have INCREASED support for public health measures xe x xa,0.2833333333333333,0.25,Positive
1,NjbBari Do emails in weeks sent to parents re Covid from my daughter s school count as data They re a litt xe x xa,0.0,0.0,Neutral
2,nickrmanes Great historical footnote dug up by thenighttrain on the Joe Louis Open a tournament for Black golfers held at Rackham Go xe x xa,0.42083333333333334,0.15833333333333335,Positive
3,NickSawyerMD COVID disinformation campaign is the nd Big Lie nAmerica xe x xs Frontline Doctors created by the Trump Campaign Malone h xe x xa,0.1,0.0,Neutral
4,DrEricDing There have been more than m excess deaths in the US during the pandemic according to CDC The deaths are mainly attri xe x xa,0.41666666666666663,0.3333333333333333,Positive
5,California adopts country s first endemic COVID plan via JustTheNews,0.3333333333333333,0.25,Positive
6,COVID Coronavirus outbreak update nTotal Cases nTotal Deaths nMore details xe x xa,0.0,0.0,Neutral
7,paimadhu How did a remote Himalayan district achieve an extraordinary COVID vaccination rate n n xe x xa nilanjana xe x xa captures the amazing w xe x xa,0.7000000000000001,0.2777777777777778,Positive
8,inquirerdotnet Finance Secretary Carlos Dominguez III proposed on Friday new or higher taxes to pay for the foreign debts the Duterte xe x xa,0.35984848484848486,0.08712121212121211,Positive
9,RebelNewsOnline Prime Minister Justin Trudeau is facing criticism online after an unsu tantiated claim that his foundation the Trude xe x xa,0.0,0.0,Neutral
10,VMaya DeeEternalOpt DNA vax Covishield is DNA shred delivered by adenovirus are known to trigger cancer producing genes We do xe x xa,0.0,0.0,Neutral
11,DJTTracker BREAKING A judge in Massachusetts has blocked the city of Boston from imposing a COVID vaccination mandate on public sa xe x xa,0.06666666666666667,0.0,Neutral
12,statsjamie xf xf xa xa xf xf xa xa A further people caught Covid within welsh hospitals in the w e n n xe xe xa xef x xf It takes the total to since xe x xa,0.625,0.0,Neutral
13,BNODesk Biden extends national emergency for COVID says the pandemic continues to cause significant risk to public health and safe xe x xa,0.48055555555555557,0.2916666666666667,Positive
14,Tricity xe x xs Covid figures for Saturday n n Chandigarh cases death n Mohali cases death n Panchkula xe x xa,0.0,0.0,Neutral
15,I admire Novak for his talent one of the best of all times but I don t aprove at all his attitude about covid xe x xa,0.3,1.0,Positive
16,BharatBiotech COVAXIN xe x x will be evaluated as a COVID vaccine candidate in the United States n n COVID COVAXIN VaccineMandate Bh xe x xa,0.0,0.0,Neutral
17,Parsifaler A UNIFYING THEORY OF COVID PATHOLOGY THE SPIKE PROTEIN AS SCLEROTHERAPEUTIC nTRANSFORMING THE VASCULATURE INTO SCAR T xe x xa,0.0,0.0,Neutral
18,OccupyDemocrats BREAKING Facebook whistleblower files complaints with the SEC revealing that the social media juggernaut misled inves xe x xa,0.3333333333333333,-0.03333333333333334,Negative
19,ImagesByFresh The GOP are for everything that hurts Americans they celebrate chaos n nThey are rooting for unemployment increasing i xe x xa,0.0,0.0,Neutral
20,DJTTracker BREAKING A judge in Massachusetts has blocked the city of Boston from imposing a COVID vaccination mandate on public sa xe x xa,0.06666666666666667,0.0,Neutral
21,WPR If I don t want my elementary school age kids to get COVID what s the best way to protect them What about masks Do kids need xe x xa,0.6,0.65,Positive
22,There have been concerns that vaccines are less effective against Omicron However mRNA booster shots offer robu xe x xa,0.43333333333333335,0.21666666666666667,Positive
23,We Don t Have to Accept a Bad Flu Season Every Winter Siguemeytesigo Followback News SDV,0.6666666666666666,-0.6999999999999998,Negative
24,InvestigatorCps xf xf x xaAs we move from Pandemic to Endemic I will be referring to all new COVID variants as MAGA FLU nAre you listenin xe x xa,0.45454545454545453,0.13636363636363635,Positive
25,ACPinternists In honor of Black History Month ACP recognizes the contributions of Kimberly Manning MD as she leads the fight to com xe x xa,0.43333333333333335,-0.16666666666666666,Negative
26,MNM NTK candidates issue a joint statement alleging rigging in their ward They allege they were not allowed i xe x xa,0.0,0.0,Neutral
27,BNODesk Biden extends national emergency for COVID says the pandemic continues to cause significant risk to public health and safe xe x xa,0.48055555555555557,0.2916666666666667,Positive
28,TheDietCokeBtn I remember when people started putting xe x xccovid xe x xd surcharges on ta and I loved the backlash restaurants got and it qu xe x xa,0.8,0.7,Positive
29,RepThomasMassie Is anyone still claiming the COVID shots are anything more than a pretreatment For heaven xe x xs sake the U S Surgeon Ge xe x xa,0.5,0.5,Positive
30,AnaCabrera NEW Ivermectin doesn xe x xt prevent severe disease from Covid any more effectively than a placebo according to a new study xe x xa,0.5522727272727272,0.34318181818181814,Positive
31,SkyNewsAust The West Australian Premier has conceded that COVID has entered the state and cannot be stopped after several days of r xe x xa,0.0,0.0,Neutral
32,Scientists at McMasterU who have developed an inhaled form of COVID vaccine have confirmed it can provide long las xe x xa,0.5666666666666668,0.15,Positive
33,AfricaFactsZone Uganda has given million by the World Bank for Covid response and emergency Preparedness project,0.0,0.0,Neutral
34,What the world got right during the Covid pandemic,0.5357142857142857,0.2857142857142857,Positive
35,SnyderVerse DC Comics has been declining since and COVID and HBOmax same day releases has nothing to do with it Proof lies xe x xa,0.125,0.0,Neutral
36,Heyh I got tickets for sell on Dallas TX concert for today show Row B I ll not be enable to attend because due xe x xa,0.375,-0.125,Negative
37,CNN The antiparasitic drug ivermectin doesn t prevent severe disease from Covid any more effectively than symptom management and cl xe x xa,0.65,0.55,Positive
38,Dnichols julicalc CDCgov I know a doctor where I m at and he said our of every coming into the ER with Covid symptoms are xe x xa,0.0,0.0,Neutral
39,DJTTracker BREAKING A judge in Massachusetts has blocked the city of Boston from imposing a COVID vaccination mandate on public sa xe x xa,0.06666666666666667,0.0,Neutral
40,AnaCabrera NEW Ivermectin doesn xe x xt prevent severe disease from Covid any more effectively than a placebo according to a new study xe x xa,0.5522727272727272,0.34318181818181814,Positive
41,COVIDnewsfast For those asking what it does The emergency declarations have proven critical in equipping hospitals and health systems xe x xa,0.8,0.0,Neutral
42,BharatBiotech COVAXIN xe x x will be evaluated as a COVID vaccine candidate in the United States n n COVID COVAXIN VaccineMandate Bh xe x xa,0.0,0.0,Neutral
43,JoeKanter Higher percentage of patients receiving ivermectin progressed to severe disease than patients not receiving ivermectin n nh xe x xa,0.5,0.25,Positive
44,Sean Shinil Kim In Australia to date in total have died from Covid as the sole cause of death while have died from vacc xe x xa,0.5,0.0,Neutral
45,N SturdivantTV Durham th grader rap artist provides answers about COVID vaccine for kids through new video and song MajorGreen xe x xa,0.45454545454545453,0.13636363636363635,Positive
46,K G Andersen This effect is important when we consider from vs with COVID because we see that most of the with group is driv xe x xa,0.75,0.45,Positive
47,MLS Dave No matter how hard the people in charge try to shut down the COVID numbers because The economy they can t shut down the xe x xa,0.3731481481481482,-0.20092592592592595,Negative
48,RepThomasMassie Is anyone still claiming the COVID shots are anything more than a pretreatment For heaven xe x xs sake the U S Surgeon Ge xe x xa,0.5,0.5,Positive
49,HELLO Today is Ben Davis Day birthday of the barrier breaking head golf pro at Rackham Golf Course who also coac xe x xa,0.0,0.0,Neutral
50,WSJ Research confirms that Covid vaccinations can affect menstrual cycles with one recent study linking vaccination to a slight in xe x xa,0.20833333333333331,-0.08333333333333333,Negative
51,cv cev This is a shocking tweet n nIt minimises the threat posed to life by Covid Especially concerning coming from a medical docto xe x xa,0.6666666666666666,-0.3333333333333333,Negative
52,COVIDnewsfast And there are a few more countries but I ll spare you The point I m intending to convey is the decision to renew the na xe x xa,0.3,0.15,Positive
53,allidoismix BILL GATES SAYS RISK OF SEVERE COVID HAVE REDUCED WARNS OF ANOTHER PANDEMIC CAUSED BY ANOTHER PATHOGEN,0.0,0.0,Neutral
54,ChartsEverglow Onda was in contact with someone who diagnosed with Covid later she testes negative but she will be in self isolatio xe x xa,0.2,-0.15,Negative
55,Holotropic Allegedly COVID is a nocturnal virus nI m done with this SCAM n NightCurfew,0.1,-0.1,Negative
56,Thompson POP UP COVID Vaccine Clinic Friday February am to pm,0.0,0.0,Neutral
57,New Publication n nPlease read Assistive Technology during the COVID Global Pandemic The Roles of Government a xe x xa,0.22727272727272727,0.06818181818181818,Positive
58,COVIDnewsfast Switzerland just recently lifted all COVID protocols Yet another country in opposite position of US stance on the pa xe x xa,0.125,0.0,Neutral
59,Despite misconceptions blendedlearning isn t a radical educational methodology hastily introduced in response to xe x xa,0.25,0.25,Positive
60,dens clu hybridverse In practically every industry Covid has a negative influence So how did that affect y xe x xa,0.4,-0.3,Negative
61,Fiona M Russell WHO has just reviewed all the evidence for masks in children There isn xe x xt any The evidence is in adults amp even then i xe x xa,0.0,0.0,Neutral
62,AnaCabrera NEW Ivermectin doesn xe x xt prevent severe disease from Covid any more effectively than a placebo according to a new study xe x xa,0.5522727272727272,0.34318181818181814,Positive
63,PandaCapital io Godlandgame Covid has a bad impact in almost every sector So as a crypto projects how did it xe x xa,0.6666666666666666,-0.6999999999999998,Negative
64,WillSwaim California Gov GavinNewsom refused yesterday to set a date to unmask kids under who according to State of California xe x xa,0.0,0.0,Neutral
65,ANI COVAXIN will be evaluated as a COVID vaccine candidate in the United States Bharat Biotech,0.0,0.0,Neutral
66,AnaCabrera NEW Ivermectin doesn xe x xt prevent severe disease from Covid any more effectively than a placebo according to a new study xe x xa,0.5522727272727272,0.34318181818181814,Positive
67,If you xe x xve got coronavirus find out more about how to look after yourself at home including how to check your oxyg xe x xa,0.5,0.5,Positive
68,StateHealthIN Along with getting vaccinated boosted and wearing high filtration masks testing is one of the best tools to prevent the xe x xa,0.41999999999999993,0.58,Positive
69,To help countries harness standards as tools for sustainabledevelopment UNECE GenderResponsiveStandards Initiat xe x xa,0.0,0.0,Neutral
70,Get vaccinated for COVID to protect your community HAP is hosting a vaccine clinic for ages TODAY from pm xe x xa,0.0,0.0,Neutral
71,OccupyDemocrats BREAKING Republican Michigan State Sen John Bizon pleads guilty to misdemeanor assault and battery for grabbing and xe x xa,1.0,-0.5,Negative
72,xe x xcIf you xe x xve ever had COVID you need to be screened for arrhythmia and heart disease xe x xd cardiologist Dr Nassir F xe x xa,0.0,0.0,Neutral
73,The UVMMedCenter and other hospitals in Vermont used a small town dynamic to drive high vaccination rates and va xe x xa,0.3704166666666666,-0.05375,Negative
74,thehill EricTrump IvankaTrump BillGates HawleyMO Joe Biden has no clue amp will destroy our country economically j xe x xa,0.45,0.04999999999999999,Positive
75,As COVID restrictions are easing up across the country parents are heading back to the office and they re left xe x xa,0.0,0.0,Neutral
