RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract�
covidestim: COVID-19 nowcasting https://t.co/WrqpdbNmRu 2 weeks to flatten the curve? https://t.co/f4Ydg90xpr
Canadian inflation hit a new three-decade high in January, heaping more pressure on the Bank of Canada to raise int� https://t.co/vsKOIU06d2
RT @RogerPielkeJr: This is an incredible mess of an article arguing that the idea of a COVID-19 lab leak is conspiracy theory just like cli�
RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract�
RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract�
RT @EssexPR: Vaccinate the vulnerable turned into vaccinate anything that moves.
It was either the plan from the off and they lied or they�
RT @DawnButlerBrent: I�ve written to the Prime Minister outlining my concerns regarding the plan to mark the Queen�s 70-year reign by sendi�
RT @translatingTXT: [220217] Weverse Notice about YEONJUN testing positive for COVID-19 https://t.co/7HKjTQCIRd
2022-02-17 18:37:04+00:00,"b'Texas hospitalizations continue to decline, but COVID-19 deaths still increased by 30  compared with the seven-day\xe2\x80\xa6 https://t.co/N0RyX4E8vP'"

2022-02-17 18:37:03+00:00,b'RT @Patriotism1788: A clinical trial regional director filed a $2 billion lawsuit against Pfizer and BioNTech alleging the pharmaceutical c\xe2\x80\xa6'

2022-02-17 18:37:03+00:00,"b""RT @Reuters_Health: Canada's health regulator said on Thursday it has approved Novavax's COVID-19 vaccine for use in people aged 18 years a\xe2\x80\xa6"""

2022-02-17 18:37:02+00:00,"b'RT @gregggonsalves: Living with #COVID19? \xe2\x80\x9cEndemic delusion is probably what captures it the best,\xe2\x80\x9d says @K_G_Andersen. Some will survive.\xe2\x80\xa6'"

2022-02-17 18:37:02+00:00,"b'RT @WWERomanReigns: I yearn to perform tonight at #WWEDay1 to defend my Universal Championship. However, unfortunately, earlier today I tes\xe2\x80\xa6'"

