a,tweets

2022-02-19 14:02:37+00:00,b'RT @RexBrynen: Angus Reid poll: most Canadians want protesters to go home (72%). Protests have INCREASED support for public health measures\xe2\x80\xa6'

2022-02-19 14:02:37+00:00,"b""@NjbBari3 Do 9 emails in 2 weeks, sent to parents re: Covid from my daughter's school count as data? They're a litt\xe2\x80\xa6 https://t.co/ZGdtgppuN7"""

2022-02-19 14:02:37+00:00,"b'RT @nickrmanes: Great historical footnote dug up by @thenighttrain on the Joe Louis Open, a tournament for Black golfers held at Rackham Go\xe2\x80\xa6'"

2022-02-19 14:02:35+00:00,b'RT @NickSawyerMD: COVID-19 disinformation campaign is the 2nd Big Lie. \nAmerica\xe2\x80\x99s Frontline Doctors created by the Trump Campaign. Malone h\xe2\x80\xa6'

2022-02-19 14:02:35+00:00,"b'RT @DrEricDing: 2) There have been more than 1m excess deaths in the US during the pandemic, according to CDC. The deaths are mainly attrib\xe2\x80\xa6'"

2022-02-19 14:02:35+00:00,"b""California adopts country's first 'endemic' COVID-19 plan https://t.co/xtHZ4yLAoD via @JustTheNews"""

2022-02-19 14:02:31+00:00,"b'[COVID-19 Coronavirus outbreak update]\nTotal Cases: 422,702,703\nTotal Deaths: 5,895,500\nMore details:\xe2\x80\xa6 https://t.co/xY1osBE1jO'"

2022-02-19 14:02:29+00:00,b'RT @paimadhu: How did a remote Himalayan district achieve an extraordinary COVID-19 vaccination rate?\n\n\xe2\x81\xa6@nilanjanab\xe2\x81\xa9 captures the amazing w\xe2\x80\xa6'

2022-02-19 14:02:29+00:00,b'RT @inquirerdotnet: Finance Secretary Carlos Dominguez III proposed on Friday new or higher taxes to pay for the foreign debts the Duterte\xe2\x80\xa6'

2022-02-19 14:02:29+00:00,"b'RT @RebelNewsOnline: Prime Minister Justin Trudeau is facing criticism online after an unsubstantiated claim that his foundation, the Trude\xe2\x80\xa6'"

2022-02-19 14:02:27+00:00,"b'RT @VMaya11156: @DeeEternalOpt DNA vax, Covishield is DNA shred delivered by adenovirus, are known to trigger cancer producing genes. We do\xe2\x80\xa6'"

2022-02-19 14:02:26+00:00,b'RT @DJTTracker: BREAKING: A judge in Massachusetts has blocked the city of Boston from imposing a COVID-19 vaccination mandate on public sa\xe2\x80\xa6'

2022-02-19 14:02:25+00:00,"b'RT @statsjamie: \xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8 A further 133 people caught Covid-19 within welsh hospitals in the w/e 13/02/22.\n\n\xe2\x9e\xa1\xef\xb8\x8f It takes the total to 10,301 since\xe2\x80\xa6'"

